"reference","quantity","value","mpn","footprint","selectionBasis","sourceIds","notes"
"C1","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C2","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C3","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C4","1","4.7uF","GRM155R60J475ME47D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M47;D;P","Candidate part; retain source conditions and derating"
"C5","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C6","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C7","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C8","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C9","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C10","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C11","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C12","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C13","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
"C14","1","100nF","GRM155R71E104KE14D","Capacitor_SMD:C_0402_1005Metric","component-selection.json","K;M100","Candidate part; retain source conditions and derating"
